#rho	 Pc
 1.000000000000000E-01 3.942777859229816E+06
 1.000921550516793E-01 3.953830164069564E+06
 1.001843950288940E-01 3.964913585323455E+06
 1.002767200099076E-01 3.976028211079085E+06
 1.003691300730550E-01 3.987174129677289E+06
 1.004616252967439E-01 3.998351429708682E+06
 1.005542057594539E-01 4.009560200017293E+06
 1.006468715397373E-01 4.020800529697670E+06
 1.007396227162184E-01 4.032072508099625E+06
 1.008324593675941E-01 4.043376224828819E+06
 1.009253815726337E-01 4.054711769746096E+06
 1.010183894101795E-01 4.066079232966177E+06
 1.011114829591461E-01 4.077478704862291E+06
 1.012046622985209E-01 4.088910276066599E+06
 1.012979275073639E-01 4.100374037468891E+06
 1.013912786648084E-01 4.111870080215693E+06
 1.014847158500602E-01 4.123398495717337E+06
 1.015782391423985E-01 4.134959375643837E+06
 1.016718486211750E-01 4.146552811921988E+06
 1.017655443658152E-01 4.158178896747384E+06
 1.018593264558172E-01 4.169837722576104E+06
 1.019531949707528E-01 4.181529382124903E+06
 1.020471499902667E-01 4.193253968379538E+06
 1.021411915940776E-01 4.205011574589195E+06
 1.022353198619770E-01 4.216802294266963E+06
 1.023295348738303E-01 4.228626221194195E+06
 1.024238367095764E-01 4.240483449421808E+06
 1.025182254492280E-01 4.252374073266451E+06
 1.026127011728715E-01 4.264298187313125E+06
 1.027072639606669E-01 4.276255886419484E+06
 1.028019138928482E-01 4.288247265711333E+06
 1.028966510497235E-01 4.300272420586580E+06
 1.029914755116747E-01 4.312331446716596E+06
 1.030863873591578E-01 4.324424440042531E+06
 1.031813866727028E-01 4.336551496782621E+06
 1.032764735329145E-01 4.348712713427322E+06
 1.033716480204714E-01 4.360908186742878E+06
 1.034669102161264E-01 4.373138013773605E+06
 1.035622602007070E-01 4.385402291836720E+06
 1.036576980551152E-01 4.397701118530625E+06
 1.037532238603275E-01 4.410034591731614E+06
 1.038488376973950E-01 4.422402809591912E+06
 1.039445396474433E-01 4.434805870548070E+06
 1.040403297916732E-01 4.447243873316434E+06
 1.041362082113601E-01 4.459716916893926E+06
 1.042321749878542E-01 4.472225100560842E+06
 1.043282302025806E-01 4.484768523878087E+06
 1.044243739370399E-01 4.497347286696700E+06
 1.045206062728074E-01 4.509961489147609E+06
 1.046169272915337E-01 4.522611231646270E+06
 1.047133370749444E-01 4.535296614900392E+06
 1.048098357048410E-01 4.548017739902511E+06
 1.049064232630998E-01 4.560774707930666E+06
 1.050030998316728E-01 4.573567620554009E+06
 1.050998654925875E-01 4.586396579634489E+06
 1.051967203279471E-01 4.599261687319794E+06
 1.052936644199303E-01 4.612163046052555E+06
 1.053906978507915E-01 4.625100780151291E+06
 1.054878207028610E-01 4.638075078266349E+06
 1.055850330585451E-01 4.651084101657843E+06
 1.056823350003259E-01 4.664127212136952E+06
 1.057797266107614E-01 4.677206134845288E+06
 1.058772079724856E-01 4.690321269269524E+06
 1.059747791682093E-01 4.703472651602722E+06
 1.060724402807189E-01 4.716660380735312E+06
 1.061701913928771E-01 4.729884555816703E+06
 1.062680325876231E-01 4.743145276269762E+06
 1.063659639479728E-01 4.756442641779620E+06
 1.064639855570183E-01 4.769776752301328E+06
 1.065620974979283E-01 4.783147708060967E+06
 1.066602998539479E-01 4.796555609551983E+06
 1.067585927083997E-01 4.810000557537135E+06
 1.068569761446822E-01 4.823482653053589E+06
 1.069554502462713E-01 4.837001997407880E+06
 1.070540150967195E-01 4.850558692178348E+06
 1.071526707796567E-01 4.864152839220705E+06
 1.072514173787895E-01 4.877784540659729E+06
 1.073502549779016E-01 4.891453898895656E+06
 1.074491836608544E-01 4.905161016608249E+06
 1.075482035115861E-01 4.918905996750431E+06
 1.076473146141124E-01 4.932688942547999E+06
 1.077465170525263E-01 4.946509957511862E+06
 1.078458109109987E-01 4.960369145427676E+06
 1.079451962737778E-01 4.974266610357540E+06
 1.080446732251892E-01 4.988202456648574E+06
 1.081442418496365E-01 5.002176788925841E+06
 1.082439022316013E-01 5.016189712092744E+06
 1.083436544556425E-01 5.030241331341656E+06
 1.084434986063974E-01 5.044331752140867E+06
 1.085434347685809E-01 5.058461080244269E+06
 1.086434630269864E-01 5.072629421693283E+06
 1.087435834664851E-01 5.086836882810514E+06
 1.088437961720266E-01 5.101083570206231E+06
 1.089441012286386E-01 5.115369590774978E+06
 1.090444987214274E-01 5.129695051700458E+06
 1.091449887355776E-01 5.144060060455522E+06
 1.092455713563523E-01 5.158464724799884E+06
 1.093462466690930E-01 5.172909152781283E+06
 1.094470147592203E-01 5.187393452742290E+06
 1.095478757122332E-01 5.201917733312430E+06
 1.096488296137094E-01 5.216482103415649E+06
 1.097498765493056E-01 5.231086672266562E+06
 1.098510166047576E-01 5.245731549376136E+06
 1.099522498658800E-01 5.260416844545074E+06
 1.100535764185664E-01 5.275142667872358E+06
 1.101549963487898E-01 5.289909129753312E+06
 1.102565097426024E-01 5.304716340875208E+06
 1.103581166861355E-01 5.319564412228920E+06
 1.104598172656000E-01 5.334453455098039E+06
 1.105616115672859E-01 5.349383581067534E+06
 1.106634996775632E-01 5.364354902022968E+06
 1.107654816828812E-01 5.379367530146128E+06
 1.108675576697689E-01 5.394421577924965E+06
 1.109697277248350E-01 5.409517158148579E+06
 1.110719919347682E-01 5.424654383905381E+06
 1.111743503863370E-01 5.439833368589159E+06
 1.112768031663897E-01 5.455054225901740E+06
 1.113793503618547E-01 5.470317069845840E+06
 1.114819920597407E-01 5.485622014729548E+06
 1.115847283471365E-01 5.500969175170837E+06
 1.116875593112111E-01 5.516358666095419E+06
 1.117904850392136E-01 5.531790602737700E+06
 1.118935056184740E-01 5.547265100635989E+06
 1.119966211364026E-01 5.562782275643368E+06
 1.120998316804899E-01 5.578342243924243E+06
 1.122031373383074E-01 5.593945121955946E+06
 1.123065381975074E-01 5.609591026522232E+06
