#rho	 Pc
 1.000000000000000E-01 2.247445092274777E+08
 1.000767874200861E-01 2.252248076951845E+08
 1.001536338032509E-01 2.257061174665505E+08
 1.002305391947709E-01 2.261884406091270E+08
 1.003075036399570E-01 2.266717791945382E+08
 1.003845271841549E-01 2.271561352983405E+08
 1.004616098727451E-01 2.276415110003320E+08
 1.005387517511434E-01 2.281279083840395E+08
 1.006159528647998E-01 2.286153295370159E+08
 1.006932132591997E-01 2.291037765511792E+08
 1.007705329798632E-01 2.295932515221187E+08
 1.008479120723454E-01 2.300837565497507E+08
 1.009253505822365E-01 2.305752937380180E+08
 1.010028485551614E-01 2.310678651946322E+08
 1.010804060367803E-01 2.315614730316889E+08
 1.011580230727885E-01 2.320561193653444E+08
 1.012356997089162E-01 2.325518063156832E+08
 1.013134359909287E-01 2.330485360070022E+08
 1.013912319646267E-01 2.335463105677883E+08
 1.014690876758459E-01 2.340451321303197E+08
 1.015470031704570E-01 2.345450028312207E+08
 1.016249784943662E-01 2.350459248113632E+08
 1.017030136935151E-01 2.355479002154441E+08
 1.017811088138802E-01 2.360509311924922E+08
 1.018592639014734E-01 2.365550198956836E+08
 1.019374790023419E-01 2.370601684821795E+08
 1.020157541625686E-01 2.375663791134952E+08
 1.020940894282715E-01 2.380736539552387E+08
 1.021724848456037E-01 2.385819951771469E+08
 1.022509404607545E-01 2.390914049533004E+08
 1.023294563199481E-01 2.396018854615971E+08
 1.024080324694443E-01 2.401134388844981E+08
 1.024866689555384E-01 2.406260674086779E+08
 1.025653658245616E-01 2.411397732246656E+08
 1.026441231228801E-01 2.416545585275152E+08
 1.027229408968962E-01 2.421704255164323E+08
 1.028018191930474E-01 2.426873763947680E+08
 1.028807580578073E-01 2.432054133701876E+08
 1.029597575376849E-01 2.437245386546873E+08
 1.030388176792250E-01 2.442447544643282E+08
 1.031179385290080E-01 2.447660630194740E+08
 1.031971201336504E-01 2.452884665448756E+08
 1.032763625398042E-01 2.458119672695268E+08
 1.033556657941571E-01 2.463365673080192E+08
 1.034350299434333E-01 2.468622684662023E+08
 1.035144550343921E-01 2.473890833048536E+08
 1.035939411138292E-01 2.479170183806205E+08
 1.036734882285759E-01 2.484460678429029E+08
 1.037530964254999E-01 2.489762324775891E+08
 1.038327657515045E-01 2.495075148868769E+08
 1.039124962535291E-01 2.500399173670276E+08
 1.039922879785491E-01 2.505734422192439E+08
 1.040721409735764E-01 2.511080917489163E+08
 1.041520552856584E-01 2.516438682659324E+08
 1.042320309618789E-01 2.521807740847956E+08
 1.043120680493578E-01 2.527188115244411E+08
 1.043921665952513E-01 2.532579829085711E+08
 1.044723266467518E-01 2.537982905652740E+08
 1.045525482510876E-01 2.543397368269606E+08
 1.046328314555239E-01 2.548823240308554E+08
 1.047131763073617E-01 2.554260545189148E+08
 1.047935828539383E-01 2.559709306373854E+08
 1.048740511426275E-01 2.565169547371770E+08
 1.049545812208397E-01 2.570641291737269E+08
 1.050351731360214E-01 2.576124563071585E+08
 1.051158269356555E-01 2.581619385022286E+08
 1.051965426672614E-01 2.587125781282157E+08
 1.052773203783954E-01 2.592643775592614E+08
 1.053581601166498E-01 2.598173391736942E+08
 1.054390619296534E-01 2.603714653547679E+08
 1.055200258650721E-01 2.609267584905794E+08
 1.056010519706081E-01 2.614832209734532E+08
 1.056821402940002E-01 2.620408552005616E+08
 1.057632908830236E-01 2.625996635739772E+08
 1.058445037854908E-01 2.631596484999715E+08
 1.059257790492506E-01 2.637208123900109E+08
 1.060071167221886E-01 2.642831576600478E+08
 1.060885168522271E-01 2.648466867303880E+08
 1.061699794873256E-01 2.654114020267816E+08
 1.062515046754798E-01 2.659773059791747E+08
 1.063330924647228E-01 2.665444010223044E+08
 1.064147429031241E-01 2.671126895957666E+08
 1.064964560387907E-01 2.676821741438077E+08
 1.065782319198660E-01 2.682528571156508E+08
 1.066600705945305E-01 2.688247409649535E+08
 1.067419721110021E-01 2.693978281502088E+08
 1.068239365175351E-01 2.699721211351210E+08
 1.069059638624214E-01 2.705476223876233E+08
 1.069880541939894E-01 2.711243343806152E+08
 1.070702075606053E-01 2.717022595919566E+08
 1.071524240106719E-01 2.722814005042815E+08
 1.072347035926294E-01 2.728617596049378E+08
 1.073170463549550E-01 2.734433393861493E+08
 1.073994523461636E-01 2.740261423449979E+08
 1.074819216148068E-01 2.746101709833673E+08
 1.075644542094738E-01 2.751954278081290E+08
 1.076470501787909E-01 2.757819153308423E+08
 1.077297095714220E-01 2.763696360680777E+08
 1.078124324360681E-01 2.769585925412238E+08
 1.078952188214677E-01 2.775487872766349E+08
 1.079780687763969E-01 2.781402228053340E+08
 1.080609823496691E-01 2.787329016635753E+08
 1.081439595901351E-01 2.793268263923853E+08
 1.082270005466832E-01 2.799219995376116E+08
 1.083101052682396E-01 2.805184236503068E+08
 1.083932738037676E-01 2.811161012860176E+08
 1.084765062022684E-01 2.817150350055627E+08
 1.085598025127806E-01 2.823152273749703E+08
 1.086431627843807E-01 2.829166809648298E+08
 1.087265870661828E-01 2.835193983505595E+08
 1.088100754073384E-01 2.841233821129503E+08
 1.088936278570375E-01 2.847286348378649E+08
 1.089772444645071E-01 2.853351591157640E+08
 1.090609252790123E-01 2.859429575423833E+08
 1.091446703498559E-01 2.865520327184218E+08
 1.092284797263790E-01 2.871623872495400E+08
 1.093123534579602E-01 2.877740237465029E+08
 1.093962915940160E-01 2.883869448251649E+08
 1.094802941840008E-01 2.890011531064399E+08
 1.095643612774073E-01 2.896166512162558E+08
 1.096484929237661E-01 2.902334417854300E+08
 1.097326891726455E-01 2.908515274502094E+08
 1.098169500736522E-01 2.914709108517809E+08
 1.099012756764310E-01 2.920915946362787E+08
 1.099856660306646E-01 2.927135814552258E+08
 1.100701211860740E-01 2.933368739650652E+08
 1.101546411924184E-01 2.939614748273787E+08
 1.102392260994952E-01 2.945873867090566E+08
 1.103238759571398E-01 2.952146122819386E+08
 1.104085908152262E-01 2.958431542228976E+08
 1.104933707236666E-01 2.964730152143572E+08
 1.105782157324115E-01 2.971041979437331E+08
 1.106631258914497E-01 2.977367051034939E+08
 1.107481012508082E-01 2.983705393913578E+08
 1.108331418605531E-01 2.990057035103178E+08
 1.109182477707882E-01 2.996422001686405E+08
 1.110034190316559E-01 3.002800320795722E+08
 1.110886556933377E-01 3.009192019617055E+08
 1.111739578060530E-01 3.015597125389295E+08
 1.112593254200598E-01 3.022015665402952E+08
 1.113447585856549E-01 3.028447667001152E+08
 1.114302573531740E-01 3.034893157579354E+08
 1.115158217729908E-01 3.041352164587735E+08
 1.116014518955181E-01 3.047824715525374E+08
 1.116871477712072E-01 3.054310837946951E+08
 1.117729094505484E-01 3.060810559461446E+08
 1.118587369840707E-01 3.067323907726637E+08
 1.119446304223417E-01 3.073850910457072E+08
 1.120305898159677E-01 3.080391595420240E+08
 1.121166152155947E-01 3.086945990433211E+08
 1.122027066719066E-01 3.093514123371927E+08
 1.122888642356266E-01 3.100096022163081E+08
 1.123750879575171E-01 3.106691714784321E+08
 1.124613778883792E-01 3.113301229272318E+08
 1.125477340790530E-01 3.119924593714721E+08
 1.126341565804175E-01 3.126561836252877E+08
 1.127206454433914E-01 3.133212985082727E+08
 1.128072007189317E-01 3.139878068453018E+08
 1.128938224580352E-01 3.146557114668703E+08
 1.129805107117371E-01 3.153250152088327E+08
 1.130672655311128E-01 3.159957209123539E+08
 1.131540869672760E-01 3.166678314241781E+08
 1.132409750713802E-01 3.173413495964044E+08
 1.133279298946177E-01 3.180162782866279E+08
 1.134149514882208E-01 3.186926203579400E+08
 1.135020399034605E-01 3.193703786789581E+08
 1.135891951916473E-01 3.200495561237652E+08
 1.136764174041316E-01 3.207301555717957E+08
 1.137637065923025E-01 3.214121799080521E+08
 1.138510628075890E-01 3.220956320232384E+08
 1.139384861014595E-01 3.227805148133602E+08
 1.140259765254219E-01 3.234668311800384E+08
 1.141135341310238E-01 3.241545840306354E+08
 1.142011589698521E-01 3.248437762776932E+08
 1.142888510935333E-01 3.255344108395705E+08
 1.143766105537341E-01 3.262264906400904E+08
 1.144644374021603E-01 3.269200186086630E+08
 1.145523316905573E-01 3.276149976804758E+08
 1.146402934707109E-01 3.283114307961855E+08
 1.147283227944463E-01 3.290093209018596E+08
 1.148164197136282E-01 3.297086709494855E+08
 1.149045842801613E-01 3.304094838965982E+08
 1.149928165459907E-01 3.311117627063057E+08
 1.150811165631008E-01 3.318155103474151E+08
 1.151694843835158E-01 3.325207297943017E+08
 1.152579200593003E-01 3.332274240272353E+08
 1.153464236425587E-01 3.339355960319380E+08
 1.154349951854354E-01 3.346452487997792E+08
 1.155236347401148E-01 3.353563853281590E+08
 1.156123423588213E-01 3.360690086198998E+08
 1.157011180938198E-01 3.367831216834998E+08
 1.157899619974148E-01 3.374987275333353E+08
 1.158788741219512E-01 3.382158291895134E+08
 1.159678545198142E-01 3.389344295141851E+08
 1.160569032434292E-01 3.396545310229515E+08
 1.161460203452617E-01 3.403761503961388E+08
 1.162352058778173E-01 3.410992963543286E+08
 1.163244598936427E-01 3.418239614184558E+08
 1.164137824453241E-01 3.425501468261476E+08
 1.165031735854885E-01 3.432778560751167E+08
 1.165926333668031E-01 3.440070922776335E+08
 1.166821618419759E-01 3.447378585520692E+08
 1.167717590637551E-01 3.454701580223826E+08
 1.168614250849293E-01 3.462039938190858E+08
 1.169511599583277E-01 3.469393690786532E+08
 1.170409637368205E-01 3.476762869432642E+08
 1.171308364733179E-01 3.484147505615339E+08
 1.172207782207709E-01 3.491547630882648E+08
 1.173107890321715E-01 3.498963276841384E+08
 1.174008689605519E-01 3.506394475159651E+08
 1.174910180589854E-01 3.513841257568731E+08
 1.175812363805857E-01 3.521303655859866E+08
 1.176715239785077E-01 3.528781701884561E+08
 1.177618809059468E-01 3.536275427557659E+08
 1.178523072161393E-01 3.543784864858269E+08
 1.179428029623624E-01 3.551310045823306E+08
 1.180333681979344E-01 3.558851002551656E+08
 1.181240029762143E-01 3.566407767207472E+08
 1.182147073506021E-01 3.573980372013692E+08
 1.183054813745389E-01 3.581568849258625E+08
 1.183963251015069E-01 3.589173231290218E+08
 1.184872385850291E-01 3.596793550519739E+08
 1.185782218786696E-01 3.604429839423857E+08
 1.186692750360343E-01 3.612082130538728E+08
 1.187603981107693E-01 3.619750456460834E+08
 1.188515911565626E-01 3.627434849857317E+08
 1.189428542271428E-01 3.635135343453291E+08
 1.190341873762806E-01 3.642851970035089E+08
 1.191255906577873E-01 3.650584762456533E+08
 1.192170641255158E-01 3.658333753632928E+08
 1.193086078333600E-01 3.666098976546276E+08
 1.194002218352559E-01 3.673880464234368E+08
 1.194919061851803E-01 3.681678249805933E+08
 1.195836609371514E-01 3.689492366432517E+08
 1.196754861452296E-01 3.697322847345669E+08
 1.197673818635160E-01 3.705169725844938E+08
 1.198593481461537E-01 3.713033035292040E+08
 1.199513850473270E-01 3.720912809114175E+08
 1.200434926212624E-01 3.728809080802068E+08
 1.201356709222275E-01 3.736721883911393E+08
 1.202279200045318E-01 3.744651252060123E+08
 1.203202399225264E-01 3.752597218934904E+08
 1.204126307306043E-01 3.760559818285989E+08
 1.205050924832001E-01 3.768539083926002E+08
 1.205976252347903E-01 3.776535049734114E+08
 1.206902290398931E-01 3.784547749655052E+08
 1.207829039530688E-01 3.792577217701724E+08
 1.208756500289195E-01 3.800623487945961E+08
 1.209684673220888E-01 3.808686594527934E+08
 1.210613558872631E-01 3.816766571656073E+08
 1.211543157791702E-01 3.824863453602022E+08
 1.212473470525800E-01 3.832977274702603E+08
 1.213404497623044E-01 3.841108069361901E+08
 1.214336239631978E-01 3.849255872050297E+08
 1.215268697101562E-01 3.857420717302443E+08
 1.216201870581180E-01 3.865602639721760E+08
 1.217135760620637E-01 3.873801673976108E+08
 1.218070367770163E-01 3.882017854801250E+08
 1.219005692580407E-01 3.890251216997811E+08
 1.219941735602440E-01 3.898501795435101E+08
 1.220878497387763E-01 3.906769625048358E+08
 1.221815978488293E-01 3.915054740837798E+08
 1.222754179456374E-01 3.923357177874317E+08
 1.223693100844772E-01 3.931676971294695E+08
 1.224632743206683E-01 3.940014156302577E+08
 1.225573107095721E-01 3.948368768168503E+08
 1.226514193065929E-01 3.956740842230556E+08
 1.227456001671772E-01 3.965130413896394E+08
 1.228398533468148E-01 3.973537518639218E+08
 1.229341789010374E-01 3.981962192000314E+08
 1.230285768854195E-01 3.990404469591036E+08
 1.231230473555783E-01 3.998864387088445E+08
 1.232175903671741E-01 4.007341980238509E+08
 1.233122059759093E-01 4.015837284856803E+08
 1.234068942375293E-01 4.024350336825013E+08
 1.235016552078227E-01 4.032881172094523E+08
 1.235964889426204E-01 4.041429826688226E+08
 1.236913954977965E-01 4.049996336692393E+08
 1.237863749292676E-01 4.058580738264550E+08
 1.238814272929939E-01 4.067183067634048E+08
 1.239765526449780E-01 4.075803361094808E+08
 1.240717510412658E-01 4.084441655013225E+08
 1.241670225379459E-01 4.093097985824802E+08
 1.242623671911505E-01 4.101772390031579E+08
 1.243577850570545E-01 4.110464904209582E+08
 1.244532761918760E-01 4.119175565000302E+08
