#rho	 Pc
 1.000000000000000E-01 9.758977438304964E+08
 1.000767874200861E-01 9.778631127417653E+08
 1.001536338032509E-01 9.798323597183670E+08
 1.002305391947709E-01 9.818054920339522E+08
 1.003075036399570E-01 9.837825169747267E+08
 1.003845271841549E-01 9.857634418381574E+08
 1.004616098727451E-01 9.877482739353390E+08
 1.005387517511434E-01 9.897370205881641E+08
 1.006159528647998E-01 9.917296891307726E+08
 1.006932132591997E-01 9.937262869110318E+08
 1.007705329798632E-01 9.957268212873521E+08
 1.008479120723454E-01 9.977312996315014E+08
 1.009253505822365E-01 9.997397293270545E+08
 1.010028485551614E-01 1.001752117769658E+09
 1.010804060367803E-01 1.003768472368347E+09
 1.011580230727885E-01 1.005788800543161E+09
 1.012356997089162E-01 1.007813109726799E+09
 1.013134359909287E-01 1.009841407365524E+09
 1.013912319646267E-01 1.011873700916439E+09
 1.014690876758459E-01 1.013909997849130E+09
 1.015470031704570E-01 1.015950305647083E+09
 1.016249784943662E-01 1.017994631804692E+09
 1.017030136935151E-01 1.020042981694395E+09
 1.017811088138802E-01 1.022095374325563E+09
 1.018592639014734E-01 1.024151859294688E+09
 1.019374790023419E-01 1.026212444880604E+09
 1.020157541625686E-01 1.028277113310303E+09
 1.020940894282715E-01 1.030345874687432E+09
 1.021724848456037E-01 1.032418736898331E+09
 1.022509404607545E-01 1.034495707740296E+09
 1.023294563199481E-01 1.036576795024225E+09
 1.024080324694443E-01 1.038662006574925E+09
 1.024866689555384E-01 1.040751350229632E+09
 1.025653658245616E-01 1.042844833840054E+09
 1.026441231228801E-01 1.044942465271392E+09
 1.027229408968962E-01 1.047044252402028E+09
 1.028018191930474E-01 1.049150203124474E+09
 1.028807580578073E-01 1.051260325343548E+09
 1.029597575376849E-01 1.053374626979388E+09
 1.030388176792250E-01 1.055493115965467E+09
 1.031179385290080E-01 1.057615800248605E+09
 1.031971201336504E-01 1.059742687788057E+09
 1.032763625398042E-01 1.061873786558794E+09
 1.033556657941571E-01 1.064009104550007E+09
 1.034350299434333E-01 1.066148649761296E+09
 1.035144550343921E-01 1.068292430208358E+09
 1.035939411138292E-01 1.070440453922066E+09
 1.036734882285759E-01 1.072592728944237E+09
 1.037530964254999E-01 1.074749263331740E+09
 1.038327657515045E-01 1.076910065155810E+09
 1.039124962535291E-01 1.079075142500295E+09
 1.039922879785491E-01 1.081244503463971E+09
 1.040721409735764E-01 1.083418156159648E+09
 1.041520552856584E-01 1.085596108713219E+09
 1.042320309618789E-01 1.087778369264346E+09
 1.043120680493578E-01 1.089964945967842E+09
 1.043921665952513E-01 1.092155846991856E+09
 1.044723266467518E-01 1.094351080518382E+09
 1.045525482510876E-01 1.096550654743132E+09
 1.046328314555239E-01 1.098754577876487E+09
 1.047131763073617E-01 1.100962858143111E+09
 1.047935828539383E-01 1.103175503780752E+09
 1.048740511426275E-01 1.105392523041498E+09
 1.049545812208397E-01 1.107613924192295E+09
 1.050351731360214E-01 1.109839715513273E+09
 1.051158269356555E-01 1.112069905299018E+09
 1.051965426672614E-01 1.114304501859416E+09
 1.052773203783954E-01 1.116543513516666E+09
 1.053581601166498E-01 1.118786948607176E+09
 1.054390619296534E-01 1.121034815483538E+09
 1.055200258650721E-01 1.123287122511361E+09
 1.056010519706081E-01 1.125543878069727E+09
 1.056821402940002E-01 1.127805090553564E+09
 1.057632908830236E-01 1.130070768370646E+09
 1.058445037854908E-01 1.132340919943628E+09
 1.059257790492506E-01 1.134615553710647E+09
 1.060071167221886E-01 1.136894678122254E+09
 1.060885168522271E-01 1.139178301643923E+09
 1.061699794873256E-01 1.141466432756244E+09
 1.062515046754798E-01 1.143759079953332E+09
 1.063330924647228E-01 1.146056251744621E+09
 1.064147429031241E-01 1.148357956653150E+09
 1.064964560387907E-01 1.150664203216418E+09
 1.065782319198660E-01 1.152974999987464E+09
 1.066600705945305E-01 1.155290355531982E+09
 1.067419721110021E-01 1.157610278432361E+09
 1.068239365175351E-01 1.159934777283838E+09
 1.069059638624214E-01 1.162263860696039E+09
 1.069880541939894E-01 1.164597537294767E+09
 1.070702075606053E-01 1.166935815718868E+09
 1.071524240106719E-01 1.169278704622710E+09
 1.072347035926294E-01 1.171626212675022E+09
 1.073170463549550E-01 1.173978348558806E+09
 1.073994523461636E-01 1.176335120972119E+09
 1.074819216148068E-01 1.178696538627185E+09
 1.075644542094738E-01 1.181062610251696E+09
 1.076470501787909E-01 1.183433344587979E+09
