#rho	 Pc
 1.000000000000000E-01 1.198880304072025E+08
 1.000767874200861E-01 1.201495630727315E+08
 1.001536338032509E-01 1.204116587166596E+08
 1.002305391947709E-01 1.206743185228887E+08
 1.003075036399570E-01 1.209375436776513E+08
 1.003845271841549E-01 1.212013353695001E+08
 1.004616098727451E-01 1.214656947894565E+08
 1.005387517511434E-01 1.217306231309819E+08
 1.006159528647998E-01 1.219961215898499E+08
 1.006932132591997E-01 1.222621913642649E+08
 1.007705329798632E-01 1.225288336549573E+08
 1.008479120723454E-01 1.227960496649618E+08
 1.009253505822365E-01 1.230638405997871E+08
 1.010028485551614E-01 1.233322076673595E+08
 1.010804060367803E-01 1.236011520780826E+08
 1.011580230727885E-01 1.238706750447481E+08
 1.012356997089162E-01 1.241407777826143E+08
 1.013134359909287E-01 1.244114615094332E+08
 1.013912319646267E-01 1.246827274453450E+08
 1.014690876758459E-01 1.249545768129977E+08
 1.015470031704570E-01 1.252270108374345E+08
 1.016249784943662E-01 1.255000307462902E+08
 1.017030136935151E-01 1.257736377695647E+08
 1.017811088138802E-01 1.260478331397596E+08
 1.018592639014734E-01 1.263226180919395E+08
 1.019374790023419E-01 1.265979938635128E+08
 1.020157541625686E-01 1.268739616945203E+08
 1.020940894282715E-01 1.271505228273827E+08
 1.021724848456037E-01 1.274276785071132E+08
 1.022509404607545E-01 1.277054298783267E+08
 1.023294563199481E-01 1.279837783584509E+08
 1.024080324694443E-01 1.282627301981045E+08
 1.024866689555384E-01 1.285422876031097E+08
 1.025653658245616E-01 1.288224477593834E+08
 1.026441231228801E-01 1.291032117203509E+08
 1.027229408968962E-01 1.293845808514768E+08
 1.028018191930474E-01 1.296665564304750E+08
 1.028807580578073E-01 1.299491397375419E+08
 1.029597575376849E-01 1.302323320555403E+08
 1.030388176792250E-01 1.305161346699070E+08
 1.031179385290080E-01 1.308005488688629E+08
 1.031971201336504E-01 1.310855759430173E+08
 1.032763625398042E-01 1.313712171856705E+08
 1.033556657941571E-01 1.316574738929062E+08
 1.034350299434333E-01 1.319443473632938E+08
 1.035144550343921E-01 1.322318388980186E+08
 1.035939411138292E-01 1.325199498010733E+08
 1.036734882285759E-01 1.328086813790032E+08
 1.037530964254999E-01 1.330980349410049E+08
 1.038327657515045E-01 1.333880117988882E+08
 1.039124962535291E-01 1.336786132672334E+08
 1.039922879785491E-01 1.339698406633433E+08
 1.040721409735764E-01 1.342616953069938E+08
 1.041520552856584E-01 1.345541785208110E+08
 1.042320309618789E-01 1.348472916300014E+08
 1.043120680493578E-01 1.351410359626232E+08
 1.043921665952513E-01 1.354354128492990E+08
 1.044723266467518E-01 1.357304236233314E+08
 1.045525482510876E-01 1.360260696209005E+08
 1.046328314555239E-01 1.363223521806496E+08
 1.047131763073617E-01 1.366192726440971E+08
 1.047935828539383E-01 1.369168323555729E+08
 1.048740511426275E-01 1.372150326620201E+08
 1.049545812208397E-01 1.375138749130659E+08
 1.050351731360214E-01 1.378133604610888E+08
 1.051158269356555E-01 1.381134906613715E+08
 1.051965426672614E-01 1.384142668718356E+08
 1.052773203783954E-01 1.387156904530846E+08
 1.053581601166498E-01 1.390177627685948E+08
 1.054390619296534E-01 1.393204851846003E+08
 1.055200258650721E-01 1.396238590700487E+08
 1.056010519706081E-01 1.399278857966486E+08
 1.056821402940002E-01 1.402325667390306E+08
 1.057632908830236E-01 1.405379032744828E+08
 1.058445037854908E-01 1.408438967830636E+08
 1.059257790492506E-01 1.411505486477482E+08
 1.060071167221886E-01 1.414578602542705E+08
 1.060885168522271E-01 1.417658329910398E+08
 1.061699794873256E-01 1.420744682494966E+08
 1.062515046754798E-01 1.423837674237849E+08
 1.063330924647228E-01 1.426937319108570E+08
 1.064147429031241E-01 1.430043631105191E+08
 1.064964560387907E-01 1.433156624254074E+08
 1.065782319198660E-01 1.436276312610664E+08
 1.066600705945305E-01 1.439402710257515E+08
 1.067419721110021E-01 1.442535831306837E+08
 1.068239365175351E-01 1.445675689898530E+08
 1.069059638624214E-01 1.448822300202191E+08
 1.069880541939894E-01 1.451975676415103E+08
 1.070702075606053E-01 1.455135832763103E+08
 1.071524240106719E-01 1.458302783502721E+08
 1.072347035926294E-01 1.461476542916723E+08
 1.073170463549550E-01 1.464657125318805E+08
 1.073994523461636E-01 1.467844545050128E+08
 1.074819216148068E-01 1.471038816480779E+08
 1.075644542094738E-01 1.474239954013050E+08
 1.076470501787909E-01 1.477447972073984E+08
 1.077297095714220E-01 1.480662885121541E+08
 1.078124324360681E-01 1.483884707643732E+08
 1.078952188214677E-01 1.487113454157465E+08
 1.079780687763969E-01 1.490349139208177E+08
 1.080609823496691E-01 1.493591777371103E+08
 1.081439595901351E-01 1.496841383251231E+08
 1.082270005466832E-01 1.500097971483110E+08
 1.083101052682396E-01 1.503361556729655E+08
 1.083932738037676E-01 1.506632153684666E+08
 1.084765062022684E-01 1.509909777071686E+08
 1.085598025127806E-01 1.513194441642937E+08
 1.086431627843807E-01 1.516486162181313E+08
 1.087265870661828E-01 1.519784953498259E+08
 1.088100754073384E-01 1.523090830437522E+08
 1.088936278570375E-01 1.526403807869771E+08
 1.089772444645071E-01 1.529723900697845E+08
 1.090609252790123E-01 1.533051123854927E+08
 1.091446703498559E-01 1.536385492301222E+08
 1.092284797263790E-01 1.539727021030652E+08
 1.093123534579602E-01 1.543075725065809E+08
 1.093962915940160E-01 1.546431619459885E+08
 1.094802941840008E-01 1.549794719295484E+08
 1.095643612774073E-01 1.553165039686545E+08
 1.096484929237661E-01 1.556542595777407E+08
 1.097326891726455E-01 1.559927402742684E+08
 1.098169500736522E-01 1.563319475787381E+08
 1.099012756764310E-01 1.566718830147441E+08
 1.099856660306646E-01 1.570125481089911E+08
 1.100701211860740E-01 1.573539443911024E+08
 1.101546411924184E-01 1.576960733939877E+08
 1.102392260994952E-01 1.580389366534406E+08
 1.103238759571398E-01 1.583825357084548E+08
 1.104085908152262E-01 1.587268721011884E+08
 1.104933707236666E-01 1.590719473767187E+08
 1.105782157324115E-01 1.594177630833800E+08
 1.106631258914497E-01 1.597643207725720E+08
 1.107481012508082E-01 1.601116219987436E+08
 1.108331418605531E-01 1.604596683196265E+08
 1.109182477707882E-01 1.608084612960033E+08
 1.110034190316559E-01 1.611580024917123E+08
 1.110886556933377E-01 1.615082934737911E+08
 1.111739578060530E-01 1.618593358125381E+08
 1.112593254200598E-01 1.622111310812578E+08
 1.113447585856549E-01 1.625636808564284E+08
 1.114302573531740E-01 1.629169867178396E+08
 1.115158217729908E-01 1.632710502482432E+08
 1.116014518955181E-01 1.636258730336605E+08
 1.116871477712072E-01 1.639814566633903E+08
 1.117729094505484E-01 1.643378027298552E+08
 1.118587369840707E-01 1.646949128285396E+08
 1.119446304223417E-01 1.650527885583361E+08
 1.120305898159677E-01 1.654114315212650E+08
 1.121166152155947E-01 1.657708433224591E+08
 1.122027066719066E-01 1.661310255704843E+08
 1.122888642356266E-01 1.664919798769745E+08
 1.123750879575171E-01 1.668537078567730E+08
 1.124613778883792E-01 1.672162111280824E+08
 1.125477340790530E-01 1.675794913122558E+08
 1.126341565804175E-01 1.679435500338978E+08
 1.127206454433914E-01 1.683083889210049E+08
 1.128072007189317E-01 1.686740096046215E+08
 1.128938224580352E-01 1.690404137191866E+08
 1.129805107117371E-01 1.694076029023997E+08
 1.130672655311128E-01 1.697755787953025E+08
 1.131540869672760E-01 1.701443430420883E+08
 1.132409750713802E-01 1.705138972902671E+08
 1.133279298946177E-01 1.708842431907558E+08
 1.134149514882208E-01 1.712553823976467E+08
 1.135020399034605E-01 1.716273165684579E+08
 1.135891951916473E-01 1.720000473639629E+08
 1.136764174041316E-01 1.723735764482284E+08
 1.137637065923025E-01 1.727479054886829E+08
 1.138510628075890E-01 1.731230361561186E+08
 1.139384861014595E-01 1.734989701246409E+08
 1.140259765254219E-01 1.738757090717342E+08
 1.141135341310238E-01 1.742532546781000E+08
 1.142011589698521E-01 1.746316086279329E+08
 1.142888510935333E-01 1.750107726088657E+08
