#rho	 Pc
 1.000000000000000E-01 3.745872123534756E+08
 1.000767874200861E-01 3.753709263325106E+08
 1.001536338032509E-01 3.761562560457486E+08
 1.002305391947709E-01 3.769432047143476E+08
 1.003075036399570E-01 3.777317755656074E+08
 1.003845271841549E-01 3.785219718327187E+08
 1.004616098727451E-01 3.793137967551930E+08
 1.005387517511434E-01 3.801072535781842E+08
 1.006159528647998E-01 3.809023455529953E+08
 1.006932132591997E-01 3.816990759373169E+08
 1.007705329798632E-01 3.824974479942979E+08
 1.008479120723454E-01 3.832974649936490E+08
 1.009253505822365E-01 3.840991302112271E+08
 1.010028485551614E-01 3.849024469284432E+08
 1.010804060367803E-01 3.857074184332005E+08
 1.011580230727885E-01 3.865140480195657E+08
 1.012356997089162E-01 3.873223389875013E+08
 1.013134359909287E-01 3.881322946434199E+08
 1.013912319646267E-01 3.889439182994069E+08
 1.014690876758459E-01 3.897572132740726E+08
 1.015470031704570E-01 3.905721828921342E+08
 1.016249784943662E-01 3.913888304844883E+08
 1.017030136935151E-01 3.922071593877915E+08
 1.017811088138802E-01 3.930271729456205E+08
 1.018592639014734E-01 3.938488745074705E+08
 1.019374790023419E-01 3.946722674285836E+08
 1.020157541625686E-01 3.954973550710432E+08
 1.020940894282715E-01 3.963241408027980E+08
 1.021724848456037E-01 3.971526279984056E+08
 1.022509404607545E-01 3.979828200381621E+08
 1.023294563199481E-01 3.988147203089439E+08
 1.024080324694443E-01 3.996483322040547E+08
 1.024866689555384E-01 4.004836591226158E+08
 1.025653658245616E-01 4.013207044705333E+08
 1.026441231228801E-01 4.021594716595665E+08
 1.027229408968962E-01 4.029999641080841E+08
 1.028018191930474E-01 4.038421852407217E+08
 1.028807580578073E-01 4.046861384884137E+08
 1.029597575376849E-01 4.055318272884922E+08
 1.030388176792250E-01 4.063792550843955E+08
 1.031179385290080E-01 4.072284253260266E+08
 1.031971201336504E-01 4.080793414702234E+08
 1.032763625398042E-01 4.089320069794307E+08
 1.033556657941571E-01 4.097864253225534E+08
 1.034350299434333E-01 4.106425999753867E+08
 1.035144550343921E-01 4.115005344197600E+08
 1.035939411138292E-01 4.123602321443145E+08
 1.036734882285759E-01 4.132216966435007E+08
 1.037530964254999E-01 4.140849314186962E+08
 1.038327657515045E-01 4.149499399775290E+08
 1.039124962535291E-01 4.158167258339919E+08
 1.039922879785491E-01 4.166852925090193E+08
 1.040721409735764E-01 4.175556435296497E+08
 1.041520552856584E-01 4.184277824294060E+08
 1.042320309618789E-01 4.193017127481536E+08
 1.043120680493578E-01 4.201774380326070E+08
 1.043921665952513E-01 4.210549618362881E+08
 1.044723266467518E-01 4.219342877184730E+08
 1.045525482510876E-01 4.228154192452848E+08
 1.046328314555239E-01 4.236983599896272E+08
 1.047131763073617E-01 4.245831135308757E+08
 1.047935828539383E-01 4.254696834548244E+08
 1.048740511426275E-01 4.263580733540199E+08
 1.049545812208397E-01 4.272482868273411E+08
 1.050351731360214E-01 4.281403274805501E+08
 1.051158269356555E-01 4.290341989260660E+08
 1.051965426672614E-01 4.299299047825773E+08
 1.052773203783954E-01 4.308274486759027E+08
 1.053581601166498E-01 4.317268342378712E+08
 1.054390619296534E-01 4.326280651074756E+08
 1.055200258650721E-01 4.335311449304140E+08
 1.056010519706081E-01 4.344360773584182E+08
 1.056821402940002E-01 4.353428660506899E+08
 1.057632908830236E-01 4.362515146729569E+08
 1.058445037854908E-01 4.371620268969694E+08
 1.059257790492506E-01 4.380744064020405E+08
 1.060071167221886E-01 4.389886568738428E+08
 1.060885168522271E-01 4.399047820047319E+08
 1.061699794873256E-01 4.408227854941222E+08
 1.062515046754798E-01 4.417426710475830E+08
 1.063330924647228E-01 4.426644423781651E+08
 1.064147429031241E-01 4.435881032052091E+08
 1.064964560387907E-01 4.445136572551492E+08
 1.065782319198660E-01 4.454411082609391E+08
 1.066600705945305E-01 4.463704599624110E+08
 1.067419721110021E-01 4.473017161065857E+08
 1.068239365175351E-01 4.482348804466009E+08
 1.069059638624214E-01 4.491699567430298E+08
 1.069880541939894E-01 4.501069487631972E+08
 1.070702075606053E-01 4.510458602811217E+08
 1.071524240106719E-01 4.519866950777722E+08
 1.072347035926294E-01 4.529294569410609E+08
 1.073170463549550E-01 4.538741496657547E+08
 1.073994523461636E-01 4.548207770533941E+08
 1.074819216148068E-01 4.557693429123722E+08
 1.075644542094738E-01 4.567198510585833E+08
 1.076470501787909E-01 4.576723053143823E+08
 1.077297095714220E-01 4.586267094705994E+08
 1.078124324360681E-01 4.595830654631113E+08
 1.078952188214677E-01 4.605413928159504E+08
 1.079780687763969E-01 4.615017097904642E+08
 1.080609823496691E-01 4.624640093016280E+08
 1.081439595901351E-01 4.634282884418553E+08
 1.082270005466832E-01 4.643945521741929E+08
 1.083101052682396E-01 4.653628044554631E+08
 1.083932738037676E-01 4.663330492505649E+08
 1.084765062022684E-01 4.673052905309231E+08
 1.085598025127806E-01 4.682795322759693E+08
 1.086431627843807E-01 4.692557784724453E+08
 1.087265870661828E-01 4.702340331141480E+08
 1.088100754073384E-01 4.712143002031492E+08
 1.088936278570375E-01 4.721965837478127E+08
 1.089772444645071E-01 4.731808877650740E+08
 1.090609252790123E-01 4.741672162791657E+08
 1.091446703498559E-01 4.751555733211329E+08
 1.092284797263790E-01 4.761459629304145E+08
 1.093123534579602E-01 4.771383891532569E+08
 1.093962915940160E-01 4.781328560440028E+08
 1.094802941840008E-01 4.791293676643353E+08
 1.095643612774073E-01 4.801279280832999E+08
 1.096484929237661E-01 4.811285413779769E+08
 1.097326891726455E-01 4.821312116324843E+08
 1.098169500736522E-01 4.831359429390087E+08
 1.099012756764310E-01 4.841427393972551E+08
 1.099856660306646E-01 4.851516051142545E+08
 1.100701211860740E-01 4.861625442052156E+08
 1.101546411924184E-01 4.871755607925352E+08
 1.102392260994952E-01 4.881906590061561E+08
 1.103238759571398E-01 4.892078429844050E+08
 1.104085908152262E-01 4.902271168728786E+08
 1.104933707236666E-01 4.912484848244560E+08
 1.105782157324115E-01 4.922719510004808E+08
 1.106631258914497E-01 4.932975195696313E+08
 1.107481012508082E-01 4.943251947081384E+08
 1.108331418605531E-01 4.953549806005217E+08
 1.109182477707882E-01 4.963868814388808E+08
 1.110034190316559E-01 4.974209014224288E+08
 1.110886556933377E-01 4.984570447591834E+08
 1.111739578060530E-01 4.994953156645523E+08
 1.112593254200598E-01 5.005357183612370E+08
 1.113447585856549E-01 5.015782570804833E+08
 1.114302573531740E-01 5.026229360613064E+08
 1.115158217729908E-01 5.036697595503458E+08
 1.116014518955181E-01 5.047187318017152E+08
 1.116871477712072E-01 5.057698570783186E+08
 1.117729094505484E-01 5.068231396503963E+08
 1.118587369840707E-01 5.078785837958902E+08
 1.119446304223417E-01 5.089361938011198E+08
 1.120305898159677E-01 5.099959739602329E+08
 1.121166152155947E-01 5.110579285749729E+08
 1.122027066719066E-01 5.121220619555774E+08
 1.122888642356266E-01 5.131883784197775E+08
 1.123750879575171E-01 5.142568822932286E+08
 1.124613778883792E-01 5.153275779102187E+08
 1.125477340790530E-01 5.164004696124130E+08
 1.126341565804175E-01 5.174755617497668E+08
 1.127206454433914E-01 5.185528586799928E+08
 1.128072007189317E-01 5.196323647692639E+08
 1.128938224580352E-01 5.207140843917879E+08
 1.129805107117371E-01 5.217980219291662E+08
 1.130672655311128E-01 5.228841817716124E+08
 1.131540869672760E-01 5.239725683176571E+08
 1.132409750713802E-01 5.250631859734999E+08
 1.133279298946177E-01 5.261560391534931E+08
 1.134149514882208E-01 5.272511322803462E+08
 1.135020399034605E-01 5.283484697848309E+08
 1.135891951916473E-01 5.294480561057709E+08
 1.136764174041316E-01 5.305498956900642E+08
 1.137637065923025E-01 5.316539929931682E+08
 1.138510628075890E-01 5.327603524782735E+08
 1.139384861014595E-01 5.338689786170958E+08
 1.140259765254219E-01 5.349798758897678E+08
 1.141135341310238E-01 5.360930487839228E+08
 1.142011589698521E-01 5.372085017959497E+08
 1.142888510935333E-01 5.383262394306899E+08
 1.143766105537341E-01 5.394462662007563E+08
 1.144644374021603E-01 5.405685866272974E+08
 1.145523316905573E-01 5.416932052398803E+08
