#rho	 Pc
 1.000000000000000E-01 1.753809840074473E+08
 1.000767874200861E-01 1.757583842305596E+08
 1.001536338032509E-01 1.761365868565888E+08
 1.002305391947709E-01 1.765155935505699E+08
 1.003075036399570E-01 1.768954059808914E+08
 1.003845271841549E-01 1.772760258192107E+08
 1.004616098727451E-01 1.776574547406324E+08
 1.005387517511434E-01 1.780396944234864E+08
 1.006159528647998E-01 1.784227465492422E+08
 1.006932132591997E-01 1.788066128031092E+08
 1.007705329798632E-01 1.791912948734063E+08
 1.008479120723454E-01 1.795767944516396E+08
 1.009253505822365E-01 1.799631132330705E+08
 1.010028485551614E-01 1.803502529159873E+08
 1.010804060367803E-01 1.807382152021601E+08
 1.011580230727885E-01 1.811270017967929E+08
 1.012356997089162E-01 1.815166144082758E+08
 1.013134359909287E-01 1.819070547486445E+08
 1.013912319646267E-01 1.822983245332223E+08
 1.014690876758459E-01 1.826904254805671E+08
 1.015470031704570E-01 1.830833593128500E+08
 1.016249784943662E-01 1.834771277556357E+08
 1.017030136935151E-01 1.838717325377473E+08
 1.017811088138802E-01 1.842671753915662E+08
 1.018592639014734E-01 1.846634580529644E+08
 1.019374790023419E-01 1.850605822610173E+08
 1.020157541625686E-01 1.854585497584106E+08
 1.020940894282715E-01 1.858573622913517E+08
 1.021724848456037E-01 1.862570216092640E+08
 1.022509404607545E-01 1.866575294651901E+08
 1.023294563199481E-01 1.870588876156290E+08
 1.024080324694443E-01 1.874610978206412E+08
 1.024866689555384E-01 1.878641618435234E+08
 1.025653658245616E-01 1.882680814511279E+08
 1.026441231228801E-01 1.886728584139883E+08
 1.027229408968962E-01 1.890784945060219E+08
 1.028018191930474E-01 1.894849915046126E+08
 1.028807580578073E-01 1.898923511906160E+08
 1.029597575376849E-01 1.903005753485024E+08
 1.030388176792250E-01 1.907096657662336E+08
 1.031179385290080E-01 1.911196242353725E+08
 1.031971201336504E-01 1.915304525509012E+08
 1.032763625398042E-01 1.919421525112721E+08
 1.033556657941571E-01 1.923547259187524E+08
 1.034350299434333E-01 1.927681745789428E+08
 1.035144550343921E-01 1.931825003010365E+08
 1.035939411138292E-01 1.935977048979757E+08
 1.036734882285759E-01 1.940137901859514E+08
 1.037530964254999E-01 1.944307579850034E+08
 1.038327657515045E-01 1.948486101187508E+08
 1.039124962535291E-01 1.952673484141504E+08
 1.039922879785491E-01 1.956869747020922E+08
 1.040721409735764E-01 1.961074908169010E+08
 1.041520552856584E-01 1.965288985964260E+08
 1.042320309618789E-01 1.969511998823201E+08
 1.043120680493578E-01 1.973743965197844E+08
 1.043921665952513E-01 1.977984903575444E+08
 1.044723266467518E-01 1.982234832482586E+08
 1.045525482510876E-01 1.986493770479114E+08
 1.046328314555239E-01 1.990761736162643E+08
 1.047131763073617E-01 1.995038748168715E+08
 1.047935828539383E-01 1.999324825166346E+08
 1.048740511426275E-01 2.003619985864715E+08
 1.049545812208397E-01 2.007924249007375E+08
 1.050351731360214E-01 2.012237633375843E+08
 1.051158269356555E-01 2.016560157788447E+08
 1.051965426672614E-01 2.020891841100225E+08
 1.052773203783954E-01 2.025232702203978E+08
 1.053581601166498E-01 2.029582760027621E+08
 1.054390619296534E-01 2.033942033538482E+08
 1.055200258650721E-01 2.038310541741109E+08
 1.056010519706081E-01 2.042688303675128E+08
 1.056821402940002E-01 2.047075338419629E+08
 1.057632908830236E-01 2.051471665090343E+08
 1.058445037854908E-01 2.055877302840788E+08
 1.059257790492506E-01 2.060292270862664E+08
 1.060071167221886E-01 2.064716588383096E+08
 1.060885168522271E-01 2.069150274669465E+08
 1.061699794873256E-01 2.073593349025719E+08
 1.062515046754798E-01 2.078045830793495E+08
 1.063330924647228E-01 2.082507739353003E+08
 1.064147429031241E-01 2.086979094121935E+08
 1.064964560387907E-01 2.091459914556389E+08
 1.065782319198660E-01 2.095950220150076E+08
 1.066600705945305E-01 2.100450030435883E+08
 1.067419721110021E-01 2.104959364983781E+08
 1.068239365175351E-01 2.109478243402079E+08
 1.069059638624214E-01 2.114006685338533E+08
 1.069880541939894E-01 2.118544710479245E+08
 1.070702075606053E-01 2.123092338548234E+08
 1.071524240106719E-01 2.127649589307222E+08
 1.072347035926294E-01 2.132216482558161E+08
 1.073170463549550E-01 2.136793038142197E+08
 1.073994523461636E-01 2.141379275937231E+08
 1.074819216148068E-01 2.145975215861079E+08
 1.075644542094738E-01 2.150580877871473E+08
 1.076470501787909E-01 2.155196281962885E+08
 1.077297095714220E-01 2.159821448170987E+08
 1.078124324360681E-01 2.164456396569717E+08
 1.078952188214677E-01 2.169101147272532E+08
 1.079780687763969E-01 2.173755720430883E+08
 1.080609823496691E-01 2.178420136237707E+08
 1.081439595901351E-01 2.183094414924244E+08
 1.082270005466832E-01 2.187778576760866E+08
 1.083101052682396E-01 2.192472642057909E+08
 1.083932738037676E-01 2.197176631164605E+08
 1.084765062022684E-01 2.201890564472505E+08
 1.085598025127806E-01 2.206614462409316E+08
 1.086431627843807E-01 2.211348345445333E+08
 1.087265870661828E-01 2.216092234089627E+08
 1.088100754073384E-01 2.220846148890782E+08
 1.088936278570375E-01 2.225610110438675E+08
 1.089772444645071E-01 2.230384139361573E+08
 1.090609252790123E-01 2.235168256330087E+08
 1.091446703498559E-01 2.239962482054472E+08
 1.092284797263790E-01 2.244766837284278E+08
 1.093123534579602E-01 2.249581342808922E+08
 1.093962915940160E-01 2.254406019460327E+08
 1.094802941840008E-01 2.259240888111361E+08
 1.095643612774073E-01 2.264085969672894E+08
 1.096484929237661E-01 2.268941285097295E+08
 1.097326891726455E-01 2.273806855379168E+08
 1.098169500736522E-01 2.278682701552221E+08
 1.099012756764310E-01 2.283568844692988E+08
 1.099856660306646E-01 2.288465305918100E+08
 1.100701211860740E-01 2.293372106382755E+08
 1.101546411924184E-01 2.298289267287020E+08
 1.102392260994952E-01 2.303216809869836E+08
 1.103238759571398E-01 2.308154755413792E+08
 1.104085908152262E-01 2.313103125239829E+08
 1.104933707236666E-01 2.318061940711837E+08
 1.105782157324115E-01 2.323031223236266E+08
 1.106631258914497E-01 2.328010994257301E+08
 1.107481012508082E-01 2.333001275240920E+08
 1.108331418605531E-01 2.338002077687345E+08
 1.109182477707882E-01 2.343013494201275E+08
 1.110034190316559E-01 2.348035628470080E+08
 1.110886556933377E-01 2.353068444449484E+08
 1.111739578060530E-01 2.358111912517975E+08
 1.112593254200598E-01 2.363166061993955E+08
 1.113447585856549E-01 2.368230914941949E+08
 1.114302573531740E-01 2.373306493471420E+08
 1.115158217729908E-01 2.378392819735785E+08
 1.116014518955181E-01 2.383489915928218E+08
 1.116871477712072E-01 2.388597804287102E+08
 1.117729094505484E-01 2.393716507100097E+08
 1.118587369840707E-01 2.398846046691327E+08
 1.119446304223417E-01 2.403986445432099E+08
 1.120305898159677E-01 2.409137725738150E+08
 1.121166152155947E-01 2.414299910069541E+08
 1.122027066719066E-01 2.419473020929222E+08
 1.122888642356266E-01 2.424657080865165E+08
 1.123750879575171E-01 2.429852112470392E+08
 1.124613778883792E-01 2.435058138380513E+08
 1.125477340790530E-01 2.440275181278852E+08
 1.126341565804175E-01 2.445503263890162E+08
 1.127206454433914E-01 2.450742408986018E+08
 1.128072007189317E-01 2.455992639381187E+08
 1.128938224580352E-01 2.461253977935861E+08
 1.129805107117371E-01 2.466526447558368E+08
 1.130672655311128E-01 2.471810071196526E+08
 1.131540869672760E-01 2.477104871845709E+08
