#rho	 Pc
 1.000000000000000E-01 1.506854138223952E+09
 1.000767874200861E-01 1.509788257943081E+09
 1.001536338032509E-01 1.512727956853210E+09
 1.002305391947709E-01 1.515673244901322E+09
 1.003075036399570E-01 1.518624132051285E+09
 1.003845271841549E-01 1.521580628278953E+09
 1.004616098727451E-01 1.524542743578495E+09
 1.005387517511434E-01 1.527510487956864E+09
 1.006159528647998E-01 1.530483871435829E+09
 1.006932132591997E-01 1.533462904056084E+09
 1.007705329798632E-01 1.536447595869459E+09
 1.008479120723454E-01 1.539437956942864E+09
 1.009253505822365E-01 1.542433997362055E+09
 1.010028485551614E-01 1.545435727224659E+09
 1.010804060367803E-01 1.548443156644402E+09
 1.011580230727885E-01 1.551456295751242E+09
 1.012356997089162E-01 1.554475154688970E+09
 1.013134359909287E-01 1.557499743617905E+09
 1.013912319646267E-01 1.560530072712720E+09
 1.014690876758459E-01 1.563566151826694E+09
 1.015470031704570E-01 1.566607988555572E+09
 1.016249784943662E-01 1.569655629959606E+09
 1.017030136935151E-01 1.572709123002629E+09
 1.017811088138802E-01 1.575768469533914E+09
 1.018592639014734E-01 1.578833674719690E+09
 1.019374790023419E-01 1.581904749994601E+09
 1.020157541625686E-01 1.584981706055249E+09
 1.020940894282715E-01 1.588064553617223E+09
 1.021724848456037E-01 1.591153303411501E+09
 1.022509404607545E-01 1.594247966186713E+09
 1.023294563199481E-01 1.597348552709414E+09
 1.024080324694443E-01 1.600455073762966E+09
 1.024866689555384E-01 1.603567540147782E+09
 1.025653658245616E-01 1.606685962682526E+09
 1.026441231228801E-01 1.609810352202020E+09
 1.027229408968962E-01 1.612940719560093E+09
 1.028018191930474E-01 1.616077075626544E+09
 1.028807580578073E-01 1.619219431288460E+09
 1.029597575376849E-01 1.622367797452068E+09
 1.030388176792250E-01 1.625522185039203E+09
 1.031179385290080E-01 1.628682604990312E+09
 1.031971201336504E-01 1.631849068263268E+09
 1.032763625398042E-01 1.635021585832699E+09
 1.033556657941571E-01 1.638200168691136E+09
 1.034350299434333E-01 1.641384827849480E+09
 1.035144550343921E-01 1.644575574334794E+09
 1.035939411138292E-01 1.647772419192239E+09
 1.036734882285759E-01 1.650975373486358E+09
 1.037530964254999E-01 1.654184448296601E+09
 1.038327657515045E-01 1.657399654720956E+09
 1.039124962535291E-01 1.660621003875436E+09
 1.039922879785491E-01 1.663848506894289E+09
 1.040721409735764E-01 1.667082174929523E+09
 1.041520552856584E-01 1.670322019147718E+09
 1.042320309618789E-01 1.673568050736923E+09
 1.043120680493578E-01 1.676820280903297E+09
 1.043921665952513E-01 1.680078720866589E+09
 1.044723266467518E-01 1.683343381867938E+09
 1.045525482510876E-01 1.686614275166125E+09
 1.046328314555239E-01 1.689891412035112E+09
 1.047131763073617E-01 1.693174803769574E+09
 1.047935828539383E-01 1.696464461682189E+09
 1.048740511426275E-01 1.699760397100354E+09
 1.049545812208397E-01 1.703062621370825E+09
 1.050351731360214E-01 1.706371145860820E+09
 1.051158269356555E-01 1.709685981952433E+09
 1.051965426672614E-01 1.713007141047438E+09
 1.052773203783954E-01 1.716334634564246E+09
 1.053581601166498E-01 1.719668473938615E+09
 1.054390619296534E-01 1.723008670628235E+09
 1.055200258650721E-01 1.726355236104467E+09
 1.056010519706081E-01 1.729708181858768E+09
 1.056821402940002E-01 1.733067519401249E+09
 1.057632908830236E-01 1.736433260257961E+09
 1.058445037854908E-01 1.739805415973910E+09
 1.059257790492506E-01 1.743183998114868E+09
 1.060071167221886E-01 1.746569018260395E+09
 1.060885168522271E-01 1.749960488010033E+09
 1.061699794873256E-01 1.753358418983686E+09
 1.062515046754798E-01 1.756762822816450E+09
