#rho	 Pc
 1.000000000000000E-01 5.849829486385439E+09
 1.000767874200861E-01 5.860338004373970E+09
 1.001536338032509E-01 5.870864834911770E+09
 1.002305391947709E-01 5.881410007016435E+09
 1.003075036399570E-01 5.891973549737664E+09
 1.003845271841549E-01 5.902555492155718E+09
 1.004616098727451E-01 5.913155863388949E+09
 1.005387517511434E-01 5.923774692585339E+09
 1.006159528647998E-01 5.934412008931515E+09
 1.006932132591997E-01 5.945067850523516E+09
 1.007705329798632E-01 5.955742185637403E+09
 1.008479120723454E-01 5.966434942424437E+09
 1.009253505822365E-01 5.977146367486223E+09
 1.010028485551614E-01 5.987876717825286E+09
 1.010804060367803E-01 5.998626001927986E+09
 1.011580230727885E-01 6.009394249920454E+09
 1.012356997089162E-01 6.020181493124857E+09
 1.013134359909287E-01 6.030987762913048E+09
 1.013912319646267E-01 6.041813090690794E+09
 1.014690876758459E-01 6.052657507918163E+09
 1.015470031704570E-01 6.063521046088984E+09
 1.016249784943662E-01 6.074403736737551E+09
 1.017030136935151E-01 6.085305611454895E+09
 1.017811088138802E-01 6.096226701860252E+09
 1.018592639014734E-01 6.107167039619823E+09
 1.019374790023419E-01 6.118126656445704E+09
 1.020157541625686E-01 6.129105584089165E+09
 1.020940894282715E-01 6.140103854344980E+09
 1.021724848456037E-01 6.151121499053577E+09
 1.022509404607545E-01 6.162158550095621E+09
 1.023294563199481E-01 6.173215039391140E+09
 1.024080324694443E-01 6.184290998908159E+09
 1.024866689555384E-01 6.195386460660059E+09
 1.025653658245616E-01 6.206501456694075E+09
 1.026441231228801E-01 6.217636019106411E+09
 1.027229408968962E-01 6.228790180035794E+09
 1.028018191930474E-01 6.239963971662264E+09
 1.028807580578073E-01 6.251157426209991E+09
 1.029597575376849E-01 6.262370575944719E+09
 1.030388176792250E-01 6.273603453177933E+09
 1.031179385290080E-01 6.284856090260247E+09
 1.031971201336504E-01 6.296128519587061E+09
 1.032763625398042E-01 6.307420773599468E+09
 1.033556657941571E-01 6.318732884776484E+09
 1.034350299434333E-01 6.330064885641191E+09
 1.035144550343921E-01 6.341416808764515E+09
 1.035939411138292E-01 6.352788686759723E+09
 1.036734882285759E-01 6.364180552273933E+09
 1.037530964254999E-01 6.375592438004560E+09
 1.038327657515045E-01 6.387024376698326E+09
 1.039124962535291E-01 6.398476401127659E+09
 1.039922879785491E-01 6.409948544126457E+09
 1.040721409735764E-01 6.421440838566678E+09
 1.041520552856584E-01 6.432953317352261E+09
 1.042320309618789E-01 6.444486013443716E+09
 1.043120680493578E-01 6.456038959837541E+09
 1.043921665952513E-01 6.467612189577365E+09
 1.044723266467518E-01 6.479205735748978E+09
 1.045525482510876E-01 6.490819631478094E+09
 1.046328314555239E-01 6.502453909938730E+09
 1.047131763073617E-01 6.514108604344593E+09
 1.047935828539383E-01 6.525783747953945E+09
 1.048740511426275E-01 6.537479374067151E+09
 1.049545812208397E-01 6.549195516029910E+09
 1.050351731360214E-01 6.560932207231531E+09
 1.051158269356555E-01 6.572689481097027E+09
 1.051965426672614E-01 6.584467371107690E+09
 1.052773203783954E-01 6.596265910783166E+09
 1.053581601166498E-01 6.608085133674404E+09
 1.054390619296534E-01 6.619925073393888E+09
 1.055200258650721E-01 6.631785763588774E+09
 1.056010519706081E-01 6.643667237943462E+09
 1.056821402940002E-01 6.655569530202124E+09
 1.057632908830236E-01 6.667492674135528E+09
 1.058445037854908E-01 6.679436703567403E+09
 1.059257790492506E-01 6.691401652363791E+09
 1.060071167221886E-01 6.703387554429639E+09
 1.060885168522271E-01 6.715394443717270E+09
 1.061699794873256E-01 6.727422354221035E+09
 1.062515046754798E-01 6.739471319982529E+09
 1.063330924647228E-01 6.751541375079113E+09
 1.064147429031241E-01 6.763632553635344E+09
 1.064964560387907E-01 6.775744889823273E+09
 1.065782319198660E-01 6.787878417856407E+09
 1.066600705945305E-01 6.800033171981545E+09
 1.067419721110021E-01 6.812209186504040E+09
 1.068239365175351E-01 6.824406495768681E+09
 1.069059638624214E-01 6.836625134153887E+09
 1.069880541939894E-01 6.848865136090978E+09
 1.070702075606053E-01 6.861126536055061E+09
 1.071524240106719E-01 6.873409368561680E+09
 1.072347035926294E-01 6.885713668170278E+09
 1.073170463549550E-01 6.898039469481443E+09
 1.073994523461636E-01 6.910386807143750E+09
 1.074819216148068E-01 6.922755715846142E+09
 1.075644542094738E-01 6.935146230323303E+09
 1.076470501787909E-01 6.947558385356483E+09
 1.077297095714220E-01 6.959992215757776E+09
 1.078124324360681E-01 6.972447756389950E+09
 1.078952188214677E-01 6.984925042171549E+09
 1.079780687763969E-01 6.997424108047474E+09
 1.080609823496691E-01 7.009944989009641E+09
 1.081439595901351E-01 7.022487720100972E+09
 1.082270005466832E-01 7.035052336399332E+09
 1.083101052682396E-01 7.047638873031312E+09
 1.083932738037676E-01 7.060247365163360E+09
 1.084765062022684E-01 7.072877848010214E+09
 1.085598025127806E-01 7.085530356828467E+09
 1.086431627843807E-01 7.098204926913148E+09
 1.087265870661828E-01 7.110901593608261E+09
 1.088100754073384E-01 7.123620392299108E+09
 1.088936278570375E-01 7.136361358418209E+09
 1.089772444645071E-01 7.149124527437792E+09
 1.090609252790123E-01 7.161909934869283E+09
 1.091446703498559E-01 7.174717616279630E+09
 1.092284797263790E-01 7.187547607268957E+09
 1.093123534579602E-01 7.200399943483022E+09
 1.093962915940160E-01 7.213274660615628E+09
 1.094802941840008E-01 7.226171794400140E+09
 1.095643612774073E-01 7.239091380609547E+09
 1.096484929237661E-01 7.252033455067293E+09
 1.097326891726455E-01 7.264998053642532E+09
 1.098169500736522E-01 7.277985212235991E+09
 1.099012756764310E-01 7.290994966803839E+09
 1.099856660306646E-01 7.304027353338302E+09
 1.100701211860740E-01 7.317082407873720E+09
 1.101546411924184E-01 7.330160166502407E+09
 1.102392260994952E-01 7.343260665341269E+09
 1.103238759571398E-01 7.356383940558922E+09
 1.104085908152262E-01 7.369530028370719E+09
 1.104933707236666E-01 7.382698965029074E+09
 1.105782157324115E-01 7.395890786836451E+09
 1.106631258914497E-01 7.409105530129297E+09
