#rho	 Pc
 1.000000000000000E-01 3.942777859246601E+06
 1.000767874200861E-01 3.951985647472645E+06
 1.001536338032509E-01 3.961215032697239E+06
 1.002305391947709E-01 3.970466065853505E+06
 1.003075036399570E-01 3.979738797999927E+06
 1.003845271841549E-01 3.989033280313513E+06
 1.004616098727451E-01 3.998349564092965E+06
 1.005387517511434E-01 4.007687700759286E+06
 1.006159528647998E-01 4.017047741854018E+06
 1.006932132591997E-01 4.026429739044797E+06
 1.007705329798632E-01 4.035833744118199E+06
 1.008479120723454E-01 4.045259808983384E+06
 1.009253505822365E-01 4.054707985675766E+06
 1.010028485551614E-01 4.064178326355525E+06
 1.010804060367803E-01 4.073670883302687E+06
 1.011580230727885E-01 4.083185708919938E+06
 1.012356997089162E-01 4.092722855741277E+06
 1.013134359909287E-01 4.102282376422216E+06
 1.013912319646267E-01 4.111864323741341E+06
 1.014690876758459E-01 4.121468750603335E+06
 1.015470031704570E-01 4.131095710041123E+06
 1.016249784943662E-01 4.140745255213350E+06
 1.017030136935151E-01 4.150417439400228E+06
 1.017811088138802E-01 4.160112316013834E+06
 1.018592639014734E-01 4.169829938591253E+06
 1.019374790023419E-01 4.179570360795658E+06
 1.020157541625686E-01 4.189333636419865E+06
 1.020940894282715E-01 4.199119819383545E+06
 1.021724848456037E-01 4.208928963732815E+06
 1.022509404607545E-01 4.218761123644844E+06
 1.023294563199481E-01 4.228616353424622E+06
 1.024080324694443E-01 4.238494707505845E+06
 1.024866689555384E-01 4.248396240452114E+06
 1.025653658245616E-01 4.258321006955141E+06
 1.026441231228801E-01 4.268269061837684E+06
 1.027229408968962E-01 4.278240460054610E+06
 1.028018191930474E-01 4.288235256688350E+06
 1.028807580578073E-01 4.298253506954240E+06
 1.029597575376849E-01 4.308295266196514E+06
 1.030388176792250E-01 4.318360589892058E+06
 1.031179385290080E-01 4.328449533653248E+06
 1.031971201336504E-01 4.338562153219838E+06
 1.032763625398042E-01 4.348698504465036E+06
 1.033556657941571E-01 4.358858643396584E+06
 1.034350299434333E-01 4.369042626152686E+06
 1.035144550343921E-01 4.379250509005934E+06
 1.035939411138292E-01 4.389482348367612E+06
 1.036734882285759E-01 4.399738200775751E+06
 1.037530964254999E-01 4.410018122903551E+06
 1.038327657515045E-01 4.420322171564555E+06
 1.039124962535291E-01 4.430650403703403E+06
 1.039922879785491E-01 4.441002876400518E+06
 1.040721409735764E-01 4.451379646871094E+06
 1.041520552856584E-01 4.461780772467829E+06
 1.042320309618789E-01 4.472206310679523E+06
 1.043120680493578E-01 4.482656319130946E+06
 1.043921665952513E-01 4.493130855586556E+06
 1.044723266467518E-01 4.503629977943529E+06
 1.045525482510876E-01 4.514153744238892E+06
 1.046328314555239E-01 4.524702212650179E+06
 1.047131763073617E-01 4.535275441489825E+06
 1.047935828539383E-01 4.545873489208449E+06
 1.048740511426275E-01 4.556496414400425E+06
 1.049545812208397E-01 4.567144275795406E+06
 1.050351731360214E-01 4.577817132259496E+06
 1.051158269356555E-01 4.588515042807404E+06
 1.051965426672614E-01 4.599238066589309E+06
 1.052773203783954E-01 4.609986262894818E+06
 1.053581601166498E-01 4.620759691156280E+06
 1.054390619296534E-01 4.631558466239482E+06
 1.055200258650721E-01 4.642382426170822E+06
 1.056010519706081E-01 4.653229927710668E+06
 1.056821402940002E-01 4.664101043788319E+06
 1.057632908830236E-01 4.674997248919467E+06
 1.058445037854908E-01 4.685918562130608E+06
 1.059257790492506E-01 4.696865022832669E+06
