#rho	 Pc
 1.000000000000000E-01 2.998417895105622E+07
 1.000767874200861E-01 3.005178281704612E+07
 1.001536338032509E-01 3.011953759899022E+07
 1.002305391947709E-01 3.018744362921830E+07
 1.003075036399570E-01 3.025550124080640E+07
 1.003845271841549E-01 3.032371076753042E+07
 1.004616098727451E-01 3.039207254389085E+07
 1.005387517511434E-01 3.046058690510368E+07
 1.006159528647998E-01 3.052925418710290E+07
 1.006932132591997E-01 3.059807472657423E+07
 1.007705329798632E-01 3.066704886090138E+07
 1.008479120723454E-01 3.073617692820695E+07
 1.009253505822365E-01 3.080545926735313E+07
 1.010028485551614E-01 3.087489621791026E+07
 1.010804060367803E-01 3.094448812020183E+07
 1.011580230727885E-01 3.101423531529471E+07
 1.012356997089162E-01 3.108413814495024E+07
 1.013134359909287E-01 3.115419695169668E+07
 1.013912319646267E-01 3.122441207882199E+07
 1.014690876758459E-01 3.129478387031218E+07
 1.015470031704570E-01 3.136531267090327E+07
 1.016249784943662E-01 3.143599882611196E+07
 1.017030136935151E-01 3.150684268215498E+07
 1.017811088138802E-01 3.157784458600543E+07
 1.018592639014734E-01 3.164900488542674E+07
 1.019374790023419E-01 3.172032392887168E+07
 1.020157541625686E-01 3.179180206557445E+07
 1.020940894282715E-01 3.186343964552738E+07
 1.021724848456037E-01 3.193523701946817E+07
 1.022509404607545E-01 3.200719453888575E+07
 1.023294563199481E-01 3.207931255603886E+07
 1.024080324694443E-01 3.215159142395135E+07
 1.024866689555384E-01 3.222403149637307E+07
 1.025653658245616E-01 3.229663312785132E+07
 1.026441231228801E-01 3.236939667324086E+07
 1.027229408968962E-01 3.244232241598845E+07
 1.028018191930474E-01 3.251541126081701E+07
 1.028807580578073E-01 3.258866404267690E+07
 1.029597575376849E-01 3.266208056595542E+07
 1.030388176792250E-01 3.273566083177889E+07
 1.031179385290080E-01 3.280940525402400E+07
 1.031971201336504E-01 3.288331419401649E+07
 1.032763625398042E-01 3.295738801385609E+07
 1.033556657941571E-01 3.303162707639882E+07
 1.034350299434333E-01 3.310603174533136E+07
 1.035144550343921E-01 3.318060238509361E+07
 1.035939411138292E-01 3.325533936090519E+07
 1.036734882285759E-01 3.333024303881103E+07
 1.037530964254999E-01 3.340531378560954E+07
 1.038327657515045E-01 3.348055196889445E+07
 1.039124962535291E-01 3.355595795706289E+07
 1.039922879785491E-01 3.363153211931472E+07
 1.040721409735764E-01 3.370727482565008E+07
 1.041520552856584E-01 3.378318644682211E+07
 1.042320309618789E-01 3.385926735440947E+07
 1.043120680493578E-01 3.393551792084511E+07
 1.043921665952513E-01 3.401193851927219E+07
 1.044723266467518E-01 3.408852952368788E+07
 1.045525482510876E-01 3.416529130892897E+07
 1.046328314555239E-01 3.424222425056288E+07
 1.047131763073617E-01 3.431932872502310E+07
 1.047935828539383E-01 3.439660510952145E+07
 1.048740511426275E-01 3.447405378212990E+07
 1.049545812208397E-01 3.455167512170484E+07
 1.050351731360214E-01 3.462946950787523E+07
