#rho	 Pc
 1.000000000000000E-01 1.199900371021303E+06
 1.000767874200861E-01 1.202746488258698E+06
 1.001536338032509E-01 1.205599320926446E+06
 1.002305391947709E-01 1.208458884838613E+06
 1.003075036399570E-01 1.211325195848587E+06
 1.003845271841549E-01 1.214198269844787E+06
 1.004616098727451E-01 1.217078122753565E+06
 1.005387517511434E-01 1.219964770539524E+06
 1.006159528647998E-01 1.222858229204438E+06
 1.006932132591997E-01 1.225758514787685E+06
 1.007705329798632E-01 1.228665643366609E+06
 1.008479120723454E-01 1.231579631056220E+06
 1.009253505822365E-01 1.234500494010169E+06
 1.010028485551614E-01 1.237428248419174E+06
 1.010804060367803E-01 1.240362910512292E+06
 1.011580230727885E-01 1.243304496557788E+06
 1.012356997089162E-01 1.246253022861433E+06
 1.013134359909287E-01 1.249208505767705E+06
 1.013912319646267E-01 1.252170961659231E+06
 1.014690876758459E-01 1.255140406957232E+06
 1.015470031704570E-01 1.258116858122449E+06
 1.016249784943662E-01 1.261100331654328E+06
 1.017030136935151E-01 1.264090844089775E+06
 1.017811088138802E-01 1.267088412005421E+06
 1.018592639014734E-01 1.270093052018549E+06
 1.019374790023419E-01 1.273104780783639E+06
 1.020157541625686E-01 1.276123614994350E+06
 1.020940894282715E-01 1.279149571384633E+06
 1.021724848456037E-01 1.282182666728475E+06
 1.022509404607545E-01 1.285222917837759E+06
 1.023294563199481E-01 1.288270341564521E+06
 1.024080324694443E-01 1.291324954801782E+06
 1.024866689555384E-01 1.294386774480295E+06
 1.025653658245616E-01 1.297455817572132E+06
 1.026441231228801E-01 1.300532101088853E+06
 1.027229408968962E-01 1.303615642083175E+06
 1.028018191930474E-01 1.306706457646107E+06
 1.028807580578073E-01 1.309804564909911E+06
 1.029597575376849E-01 1.312909981048076E+06
 1.030388176792250E-01 1.316022723272630E+06
 1.031179385290080E-01 1.319142808838449E+06
 1.031971201336504E-01 1.322270255039117E+06
 1.032763625398042E-01 1.325405079210073E+06
 1.033556657941571E-01 1.328547298727304E+06
 1.034350299434333E-01 1.331696931007594E+06
 1.035144550343921E-01 1.334853993509200E+06
 1.035939411138292E-01 1.338018503731169E+06
 1.036734882285759E-01 1.341190479214386E+06
 1.037530964254999E-01 1.344369937539490E+06
 1.038327657515045E-01 1.347556896330419E+06
 1.039124962535291E-01 1.350751373252190E+06
 1.039922879785491E-01 1.353953386011130E+06
 1.040721409735764E-01 1.357162952354808E+06
 1.041520552856584E-01 1.360380090073114E+06
 1.042320309618789E-01 1.363604816998600E+06
 1.043120680493578E-01 1.366837151004547E+06
