#rho	 Pc
 1.000000000000000E-01 1.280645442955376E+08
 1.000767874200861E-01 1.283429573507641E+08
 1.001536338032509E-01 1.286219677926921E+08
 1.002305391947709E-01 1.289015768730453E+08
 1.003075036399570E-01 1.291817858460568E+08
 1.003845271841549E-01 1.294625959683295E+08
 1.004616098727451E-01 1.297440084991564E+08
 1.005387517511434E-01 1.300260247002591E+08
 1.006159528647998E-01 1.303086458359296E+08
 1.006932132591997E-01 1.305918731730579E+08
 1.007705329798632E-01 1.308757079809127E+08
 1.008479120723454E-01 1.311601515314964E+08
 1.009253505822365E-01 1.314452050993083E+08
 1.010028485551614E-01 1.317308699613012E+08
 1.010804060367803E-01 1.320171473971241E+08
 1.011580230727885E-01 1.323040386889625E+08
 1.012356997089162E-01 1.325915451215042E+08
 1.013134359909287E-01 1.328796679821377E+08
 1.013912319646267E-01 1.331684085607400E+08
 1.014690876758459E-01 1.334577681497806E+08
 1.015470031704570E-01 1.337477480444109E+08
 1.016249784943662E-01 1.340383495422748E+08
 1.017030136935151E-01 1.343295739435697E+08
 1.017811088138802E-01 1.346214225513430E+08
 1.018592639014734E-01 1.349138966710536E+08
 1.019374790023419E-01 1.352069976107252E+08
 1.020157541625686E-01 1.355007266812280E+08
 1.020940894282715E-01 1.357950851958680E+08
 1.021724848456037E-01 1.360900744706527E+08
 1.022509404607545E-01 1.363856958242343E+08
 1.023294563199481E-01 1.366819505778538E+08
 1.024080324694443E-01 1.369788400554723E+08
 1.024866689555384E-01 1.372763655836873E+08
 1.025653658245616E-01 1.375745284916794E+08
 1.026441231228801E-01 1.378733301113101E+08
 1.027229408968962E-01 1.381727717772875E+08
 1.028018191930474E-01 1.384728548266629E+08
 1.028807580578073E-01 1.387735805993991E+08
 1.029597575376849E-01 1.390749504381715E+08
 1.030388176792250E-01 1.393769656881358E+08
 1.031179385290080E-01 1.396796276972856E+08
 1.031971201336504E-01 1.399829378163111E+08
 1.032763625398042E-01 1.402868973985345E+08
 1.033556657941571E-01 1.405915077999901E+08
 1.034350299434333E-01 1.408967703794934E+08
 1.035144550343921E-01 1.412026864985362E+08
 1.035939411138292E-01 1.415092575213159E+08
 1.036734882285759E-01 1.418164848146925E+08
 1.037530964254999E-01 1.421243697484949E+08
